id,ts,instrument_id,side,qty,order_type,limit_price,tif
strat-SPY-LONG-2020-01-02T21:00:00+00:00,2020-01-02T21:00:00+00:00,SPY,BUY,51,market,,GTC
strat-QQQ-LONG-2020-01-02T21:00:00+00:00,2020-01-02T21:00:00+00:00,QQQ,BUY,77,market,,GTC
strat-IWM-LONG-2020-01-02T21:00:00+00:00,2020-01-02T21:00:00+00:00,IWM,BUY,100,market,,GTC
strat-TLT-LONG-2020-01-02T21:00:00+00:00,2020-01-02T21:00:00+00:00,TLT,BUY,121,market,,GTC
strat-GLD-LONG-2020-01-02T21:00:00+00:00,2020-01-02T21:00:00+00:00,GLD,BUY,115,market,,GTC
strat-USO-LONG-2020-01-02T21:00:00+00:00,2020-01-02T21:00:00+00:00,USO,BUY,1301,market,,GTC
strat-SPY-LONG-2020-02-03T21:00:00+00:00,2020-02-03T21:00:00+00:00,SPY,BUY,9,market,,GTC
strat-QQQ-LONG-2020-02-03T21:00:00+00:00,2020-02-03T21:00:00+00:00,QQQ,BUY,11,market,,GTC
strat-IWM-LONG-2020-02-03T21:00:00+00:00,2020-02-03T21:00:00+00:00,IWM,BUY,20,market,,GTC
strat-TLT-LONG-2020-02-03T21:00:00+00:00,2020-02-03T21:00:00+00:00,TLT,BUY,13,market,,GTC
strat-GLD-LONG-2020-02-03T21:00:00+00:00,2020-02-03T21:00:00+00:00,GLD,BUY,16,market,,GTC
strat-USO-SHORT-2020-02-03T21:00:00+00:00,2020-02-03T21:00:00+00:00,USO,SELL,1301,market,,GTC
strat-SPY-LONG-2020-03-02T21:00:00+00:00,2020-03-02T21:00:00+00:00,SPY,BUY,26,market,,GTC
strat-QQQ-LONG-2020-03-02T21:00:00+00:00,2020-03-02T21:00:00+00:00,QQQ,BUY,33,market,,GTC
strat-TLT-LONG-2020-03-02T21:00:00+00:00,2020-03-02T21:00:00+00:00,TLT,BUY,34,market,,GTC
strat-GLD-LONG-2020-03-02T21:00:00+00:00,2020-03-02T21:00:00+00:00,GLD,BUY,44,market,,GTC
strat-IWM-SHORT-2020-03-02T21:00:00+00:00,2020-03-02T21:00:00+00:00,IWM,SELL,100,market,,GTC
strat-TLT-LONG-2020-04-01T20:00:00+00:00,2020-04-01T20:00:00+00:00,TLT,BUY,114,market,,GTC
strat-GLD-LONG-2020-04-01T20:00:00+00:00,2020-04-01T20:00:00+00:00,GLD,BUY,144,market,,GTC
strat-SPY-SHORT-2020-04-01T20:00:00+00:00,2020-04-01T20:00:00+00:00,SPY,SELL,77,market,,GTC
strat-QQQ-SHORT-2020-04-01T20:00:00+00:00,2020-04-01T20:00:00+00:00,QQQ,SELL,110,market,,GTC
strat-QQQ-LONG-2020-05-01T20:00:00+00:00,2020-05-01T20:00:00+00:00,QQQ,BUY,108,market,,GTC
strat-TLT-SHORT-2020-05-01T20:00:00+00:00,2020-05-01T20:00:00+00:00,TLT,SELL,18,market,,GTC
strat-GLD-SHORT-2020-05-01T20:00:00+00:00,2020-05-01T20:00:00+00:00,GLD,SELL,15,market,,GTC
strat-USO-LONG-2020-05-01T20:00:00+00:00,2020-05-01T20:00:00+00:00,USO,BUY,1215,market,,GTC
strat-SPY-LONG-2020-06-01T20:00:00+00:00,2020-06-01T20:00:00+00:00,SPY,BUY,68,market,,GTC
strat-QQQ-SHORT-2020-06-01T20:00:00+00:00,2020-06-01T20:00:00+00:00,QQQ,SELL,20,market,,GTC
strat-TLT-SHORT-2020-06-01T20:00:00+00:00,2020-06-01T20:00:00+00:00,TLT,SELL,10,market,,GTC
strat-GLD-SHORT-2020-06-01T20:00:00+00:00,2020-06-01T20:00:00+00:00,GLD,SELL,18,market,,GTC
